,index,Aboard,Fatalities,Ground
5147,5147,3.0,3.0,0.0
5148,5148,20.0,13.0,0.0
5149,5149,22.0,21.0,0.0
5150,5150,6.0,6.0,0.0
5151,5151,22.0,15.0,0.0
5152,5152,6.0,6.0,0.0
5153,5153,25.0,1.0,0.0
5154,5154,22.0,22.0,0.0
5155,5155,78.0,5.0,0.0
5156,5156,3.0,3.0,6.0
5157,5157,9.0,2.0,0.0
5158,5158,5.0,1.0,0.0
5159,5159,187.0,187.0,12.0
5160,5160,9.0,1.0,0.0
5161,5161,5.0,5.0,0.0
5162,5162,9.0,9.0,0.0
5163,5163,5.0,5.0,0.0
5164,5164,20.0,20.0,0.0
5165,5165,10.0,6.0,0.0
5166,5166,14.0,14.0,0.0
5167,5167,2.0,2.0,0.0
5168,5168,15.0,14.0,0.0
5169,5169,8.0,8.0,0.0
5170,5170,11.0,11.0,0.0
5171,5171,130.0,90.0,0.0
5172,5172,6.0,1.0,0.0
5173,5173,22.0,21.0,30.0
5174,5174,3.0,3.0,0.0
5175,5175,10.0,10.0,0.0
5176,5176,18.0,18.0,0.0
5177,5177,2.0,2.0,6.0
5178,5178,4.0,0.0,2.0
5179,5179,57.0,57.0,0.0
5180,5180,4.0,4.0,0.0
5181,5181,2.0,2.0,0.0
5182,5182,5.0,5.0,0.0
5183,5183,18.0,18.0,0.0
5184,5184,10.0,6.0,0.0
5185,5185,1.0,1.0,0.0
5186,5186,152.0,0.0,0.0
5187,5187,13.0,13.0,0.0
5188,5188,20.0,20.0,0.0
5189,5189,3.0,3.0,0.0
5190,5190,46.0,46.0,0.0
5191,5191,20.0,5.0,0.0
5192,5192,10.0,10.0,0.0
5193,5193,3.0,3.0,0.0
5194,5194,19.0,19.0,0.0
5195,5195,1.0,1.0,0.0
5196,5196,8.0,8.0,0.0
5197,5197,85.0,0.0,47.0
5198,5198,13.0,13.0,0.0
5199,5199,20.0,20.0,0.0
5200,5200,24.0,24.0,0.0
5201,5201,5.0,2.0,0.0
5202,5202,1.0,1.0,0.0
5203,5203,6.0,4.0,0.0
5204,5204,9.0,9.0,0.0
5205,5205,12.0,11.0,0.0
5206,5206,136.0,3.0,2.0
5207,5207,10.0,10.0,0.0
5208,5208,4.0,4.0,0.0
5209,5209,214.0,32.0,0.0
5210,5210,1.0,1.0,0.0
5211,5211,10.0,10.0,0.0
5212,5212,18.0,18.0,0.0
5213,5213,8.0,7.0,0.0
5214,5214,7.0,6.0,0.0
5215,5215,4.0,4.0,0.0
5216,5216,2.0,1.0,0.0
5217,5217,8.0,0.0,3.0
5218,5218,9.0,9.0,0.0
5219,5219,8.0,8.0,0.0
5220,5220,7.0,5.0,0.0
5221,5221,13.0,9.0,0.0
5222,5222,10.0,10.0,0.0
5223,5223,3.0,3.0,0.0
5224,5224,172.0,154.0,0.0
5225,5225,14.0,11.0,0.0
5226,5226,90.0,68.0,0.0
5227,5227,3.0,3.0,0.0
5228,5228,17.0,17.0,0.0
5229,5229,3.0,3.0,0.0
5230,5230,7.0,7.0,0.0
5231,5231,88.0,88.0,0.0
5232,5232,6.0,4.0,0.0
5233,5233,5.0,4.0,0.0
5234,5234,19.0,18.0,0.0
5235,5235,4.0,4.0,0.0
5236,5236,8.0,8.0,8.0
5237,5237,5.0,4.0,0.0
5238,5238,7.0,7.0,0.0
5239,5239,8.0,7.0,0.0
5240,5240,7.0,7.0,0.0
5241,5241,3.0,3.0,0.0
5242,5242,3.0,3.0,0.0
5243,5243,12.0,12.0,0.0
5244,5244,9.0,8.0,0.0
5245,5245,155.0,0.0,0.0
5246,5246,28.0,24.0,0.0
5247,5247,2.0,2.0,0.0
5248,5248,49.0,49.0,1.0
5249,5249,13.0,13.0,0.0
5250,5250,5.0,5.0,0.0
5251,5251,134.0,9.0,0.0
5252,5252,11.0,11.0,0.0
5253,5253,18.0,17.0,0.0
5254,5254,14.0,14.0,0.0
5255,5255,2.0,2.0,0.0
5256,5256,16.0,16.0,0.0
5257,5257,24.0,24.0,0.0
5258,5258,6.0,6.0,0.0
5259,5259,11.0,11.0,0.0
5260,5260,11.0,1.0,0.0
5261,5261,7.0,7.0,0.0
5262,5262,18.0,18.0,0.0
5263,5263,112.0,98.0,2.0
5264,5264,4.0,4.0,
5265,5265,228.0,228.0,0.0
5266,5266,1.0,1.0,0.0
5267,5267,13.0,13.0,0.0
